,toadsuite_x,toadsuite_y,toadsuite_z,actual_x,actual_y,actual_z,toadsuite_error
78,0.49,7.48,7.5,0.5,7.625,7.625,0.19170289512680783
79,0.5,9.9,7.57,0.5,10.0,7.625,0.11412712210513283
80,2.89,0.08,7.66,2.875,0.5,7.625,0.4217226576791908
81,2.76,2.72,7.29,2.875,2.875,7.625,0.3866199684444661
82,2.82,5.12,7.47,2.875,5.25,7.625,0.20964255293236644
83,2.79,7.36,7.39,2.875,7.625,7.625,0.36424579613222713
84,2.9,10.08,7.7,2.875,10.0,7.625,0.11247221879202007
85,5.19,0.0,7.53,5.25,0.5,7.625,0.5124695112882325
86,5.14,2.76,7.46,5.25,2.875,7.625,0.2292378677269533
87,5.12,5.09,7.43,5.25,5.25,7.625,0.28376927247325445
88,5.13,7.42,7.44,5.25,7.625,7.625,0.3010813843464918
89,5.15,9.78,7.49,5.25,10.0,7.625,0.27681221071332845
90,7.38,0.0,7.38,7.625,0.5,7.625,0.6083173513882373
91,7.38,2.71,7.38,7.625,2.875,7.625,0.3837642505497354
92,7.28,4.97,7.28,7.625,5.25,7.625,0.5625388875446744
93,7.37,7.34,7.36,7.625,7.625,7.625,0.4652687395473715
94,7.79,10.2,7.8,7.625,10.0,7.625,0.3128098463923405
95,10.13,0.0,7.73,10.0,0.5,7.625,0.5271859254570443
96,10.02,2.79,7.64,10.0,2.875,7.625,0.08860022573334657
97,10.03,5.21,7.64,10.0,5.25,7.625,0.05220153254455232
98,10.22,7.75,7.79,10.0,7.625,7.625,0.30207614933986476
99,9.91,9.87,7.55,10.0,10.0,7.625,0.17500000000000057
100,0.49,0.17,9.67,0.5,0.5,10.0,0.4667976006793523
101,0.49,2.77,9.81,0.5,2.875,10.0,0.21731313812100686
102,0.49,5.03,9.61,0.5,5.25,10.0,0.4478839135311742
103,0.5,7.6,10.0,0.5,7.625,10.0,0.025000000000000355
104,0.51,10.24,10.27,0.5,10.0,10.0,0.3613862199918529
105,2.78,0.0,9.64,2.875,0.5,10.0,0.6233979467402821
106,2.74,2.69,9.5,2.875,2.875,10.0,0.5499545435761032
107,2.86,5.2,9.95,2.875,5.25,10.0,0.0722841614740052
108,2.85,7.52,9.88,2.875,7.625,10.0,0.16140012391568942
109,2.86,9.93,9.96,2.875,10.0,10.0,0.08200609733428348
110,5.01,0.0,9.52,5.25,0.5,10.0,0.7334848328356902
111,5.28,2.85,10.07,5.25,2.875,10.0,0.0801560977094073
112,5.35,5.3,10.18,5.25,5.25,10.0,0.21189620100417048
113,5.17,7.47,9.85,5.25,7.625,10.0,0.23005434140654724
114,5.26,10.0,10.02,5.25,10.0,10.0,0.02236067977499742
115,7.63,0.0,10.0,7.625,0.5,10.0,0.5000249993750312
116,7.34,2.67,9.62,7.625,2.875,10.0,0.5173490117899141
117,7.58,5.18,9.95,7.625,5.25,10.0,0.09708243919473854
118,7.75,7.71,10.17,7.625,7.625,10.0,0.22748626332154645
119,7.53,9.84,9.88,7.625,10.0,10.0,0.22141589825484487
120,10.22,0.0,10.23,10.0,0.5,10.0,0.5927056605094981
121,10.04,2.82,10.04,10.0,2.875,10.0,0.07889866919029676
122,9.99,5.19,9.99,10.0,5.25,10.0,0.06164414002968932
123,10.22,7.76,10.22,10.0,7.625,10.0,0.33915335764223314
124,10.3,10.25,10.29,10.0,10.0,10.0,0.4864154602806123
