,x,y,z,t_emit
0,0.0,1.5000000000000004,-2.598076211353316,0.1
1,0.0,2.598076211353316,-1.4999999999999998,0.2
2,0.0,3.0,0.0,0.30000000000000004
3,0.0,2.598076211353316,1.4999999999999998,0.4
4,0.0,1.5000000000000004,2.598076211353316,0.5
5,0.0,2.2500000000000004,-3.8971143170299736,0.6
6,0.0,3.897114317029974,-2.2499999999999996,0.7000000000000001
7,0.0,4.5,0.0,0.8
8,0.0,3.897114317029974,2.2499999999999996,0.9
9,0.0,2.2500000000000004,3.8971143170299736,1.0
10,0.0,3.000000000000001,-5.196152422706632,1.1
11,0.0,5.196152422706632,-2.9999999999999996,1.2000000000000002
12,0.0,6.0,0.0,1.3000000000000003
13,0.0,5.196152422706632,2.9999999999999996,1.4000000000000001
14,0.0,3.000000000000001,5.196152422706632,1.5000000000000002
15,0.0,4.250000000000001,-7.361215932167728,1.6
16,0.0,7.361215932167729,-4.249999999999999,1.7000000000000002
17,0.0,8.5,0.0,1.8000000000000003
18,0.0,7.361215932167729,4.249999999999999,1.9000000000000001
19,0.0,4.250000000000001,7.361215932167728,2.0
20,0.0,5.000000000000001,-8.660254037844386,2.1
21,0.0,8.660254037844387,-4.999999999999999,2.2
22,0.0,10.0,0.0,2.3000000000000003
23,0.0,8.660254037844387,4.999999999999999,2.4000000000000004
24,0.0,5.000000000000001,8.660254037844386,2.5000000000000004
25,0.7500000000000001,1.2990381056766584,-2.598076211353316,2.6
26,1.2990381056766578,2.25,-1.4999999999999998,2.7
27,1.4999999999999998,2.598076211353316,0.0,2.8000000000000003
28,1.2990381056766578,2.25,1.4999999999999998,2.9000000000000004
29,0.7500000000000001,1.2990381056766584,2.598076211353316,3.0000000000000004
30,1.125,1.9485571585149875,-3.8971143170299736,3.1
31,1.9485571585149868,3.3750000000000004,-2.2499999999999996,3.2
32,2.2499999999999996,3.897114317029974,0.0,3.3000000000000003
33,1.9485571585149868,3.3750000000000004,2.2499999999999996,3.4000000000000004
34,1.125,1.9485571585149875,3.8971143170299736,3.5000000000000004
35,1.5000000000000002,2.598076211353317,-5.196152422706632,3.6
36,2.5980762113533156,4.5,-2.9999999999999996,3.7
37,2.9999999999999996,5.196152422706632,0.0,3.8000000000000003
38,2.5980762113533156,4.5,2.9999999999999996,3.9000000000000004
39,1.5000000000000002,2.598076211353317,5.196152422706632,4.0
40,2.125,3.680607966083865,-7.361215932167728,4.1
41,3.680607966083864,6.375000000000001,-4.249999999999999,4.2
42,4.249999999999999,7.361215932167729,0.0,4.3
43,3.680607966083864,6.375000000000001,4.249999999999999,4.3999999999999995
44,2.125,3.680607966083865,7.361215932167728,4.5
45,2.5,4.3301270189221945,-8.660254037844386,4.6
46,4.330127018922193,7.500000000000001,-4.999999999999999,4.7
47,4.999999999999999,8.660254037844387,0.0,4.8
48,4.330127018922193,7.500000000000001,4.999999999999999,4.9
49,2.5,4.3301270189221945,8.660254037844386,5.0
50,1.2990381056766582,0.7500000000000004,-2.598076211353316,5.1
51,2.25,1.2990381056766582,-1.4999999999999998,5.2
52,2.598076211353316,1.5000000000000004,0.0,5.3
53,2.25,1.2990381056766582,1.4999999999999998,5.4
54,1.2990381056766582,0.7500000000000004,2.598076211353316,5.5
55,1.9485571585149872,1.1250000000000004,-3.8971143170299736,5.6
56,3.375,1.9485571585149875,-2.2499999999999996,5.7
57,3.8971143170299736,2.2500000000000004,0.0,5.8
58,3.375,1.9485571585149875,2.2499999999999996,5.9
59,1.9485571585149872,1.1250000000000004,3.8971143170299736,6.0
60,2.5980762113533165,1.5000000000000009,-5.196152422706632,6.1
61,4.5,2.5980762113533165,-2.9999999999999996,6.2
62,5.196152422706632,3.000000000000001,0.0,6.3
63,4.5,2.5980762113533165,2.9999999999999996,6.4
64,2.5980762113533165,1.5000000000000009,5.196152422706632,6.5
65,3.6806079660838646,2.125000000000001,-7.361215932167728,6.6
66,6.375,3.6806079660838655,-4.249999999999999,6.7
67,7.361215932167728,4.250000000000001,0.0,6.8
68,6.375,3.6806079660838655,4.249999999999999,6.9
69,3.6806079660838646,2.125000000000001,7.361215932167728,7.0
70,4.330127018922194,2.500000000000001,-8.660254037844386,7.1
71,7.5,4.3301270189221945,-4.999999999999999,7.2
72,8.660254037844386,5.000000000000001,0.0,7.3
73,7.5,4.3301270189221945,4.999999999999999,7.4
74,4.330127018922194,2.500000000000001,8.660254037844386,7.5
